﻿file,Code,Name,Stock,price
PMLP000300001.jpg,PMLP000300001,"Loro Piana Babouche Charms walk
light beige",230,1
PMLP000300002.jpg,PMLP000300002,"Loro Piana Babouche Charms walk
Black",231,1
PMLP000300003.jpg,PMLP000300003,"Loro Piana Babouche Charms walk
Green",232,1
PMLP000300004.jpg,PMLP000300004,"Loro Piana Babouche Charms walk
Pink Sand",233,1
PMLP000300005.jpg,PMLP000300005,"Loro Piana Babouche Charms walk
sky blue",234,1
PMLP000300006.jpg,PMLP000300006,"Loro Piana Babouche Charms walk
RED white",235,1
PMLP000300007.jpg,PMLP000300007,"Loro Piana Babouche Charms walk
navy blue",236,1
PMLP000300008.jpg,PMLP000300008,"Loro Piana Babouche Charms walk
brown",237,1
PMLP000300009.jpg,PMLP000300009,Loro Piana Babouche Charms walk burgundy color gold-toned charms,238,1
PMLP000300010.jpg,PMLP000300010,Loro Piana Babouche Charms walk PINK color silver-toned charms,239,1
PMLP000300011.jpg,PMLP000300011,"Loro Piana Babouche Charms walk
BEIGE",240,1
PMLP000900001.jpg,PMLP000900001,"Loro Piana Summer Charms slide
sandals GRAY",241,1
PMLP000900002.jpg,PMLP000900002,"Loro Piana Summer Charms slide
sandals BLACK",242,1
PMLP000900003.jpg,PMLP000900003,"Loro Piana Summer Charms slide
sandals BROWN",243,1
PMLP000900004.jpg,PMLP000900004,"Loro Piana Summer Charms slide
sandals BEIGE",244,1
PMLP000900005.jpg,PMLP000900005,"Loro Piana Summer Charms slide
sandals Precious Rose",245,1
PMLP001000001.jpg,PMLP001000001,Loro Piana sandals black pebbled leather crisscross straps white sole,246,1770
PMLP001000002.jpg,PMLP001000002,Loro Piana sandals NAVY   pebbled leather crisscross straps white sole,247,1770
PMLP001000003.jpg,PMLP001000003,Loro Piana sandals BROWN   pebbled leather crisscross straps white sole,248,1770
PMLP001000004.jpg,PMLP001000004,"Loro Piana sandals LIGHT BROWN pebbled leather crisscross straps
white sole",249,1710
PMLP001000005.jpg,PMLP001000005,Loro Piana sandals NAVY pebbled leather crisscross straps white sole,250,1690
PMLP001000006.jpg,PMLP001000006,"Loro Piana sandals LIGHT BEIGE pebbled leather crisscross straps
white sole",251,1730
PMLP001000007.jpg,PMLP001000007,Loro Piana sandals BLACK pebbled leather crisscross straps white sole,252,1690
PMLP001000008.jpg,PMLP001000008,Loro Piana sandals LIGHT BROWN pebbled leather crisscross straps,253,1730
PMLP001000009.jpg,PMLP001000009,"Loro Piana sandals BLACK pebbled
leather crisscross straps",254,1730
PMLV001400003.jpg,PMLV001400003,"LOUIS VUITTONFeel slides brown FF
motif pattern black",255,1
PMLV002200001.jpg,PMLV002200001,Louis Vuitton oasis  black,256,1
PMMU000100001.jpg,PMMU000100001,Miu Miu Buckle slingback bright red,257,1
PMMU000100002.jpg,PMMU000100002,Miu Miu Buckle slingback black,258,1
PMMU000100003.jpg,PMMU000100003,Miu Miu Buckle slingback sepia brown,259,1
PMMU000100004.jpg,PMMU000100004,Miu Miu Buckle slingback dark green,260,1
PMMU000100005.jpg,PMMU000100005,Miu Miu Buckle slingback white beige,261,1
PMMU000200001.jpg,PMMU000200001,Miu Miu Patent leather clogs Orange,262,1
PMMU000200002.jpg,PMMU000200002,Miu Miu Patent leather clogs red,263,1
PMMU000200003.jpg,PMMU000200003,"Miu Miu Patent leather clogs pink,
brown",264,1
PMMU000200004.jpg,PMMU000200004,"Miu Miu Patent leather clogs white,
brown",265,1
PMMU000200005.jpg,PMMU000200005,Miu Miu Patent leather clogs brown,266,1
PMMU000200006.jpg,PMMU000200006,"Miu Miu Patent leather clogs Beige
Black",267,1
PMMU000200007.jpg,PMMU000200007,Miu Miu Patent leather clogs Black,268,1
PMMU000300001.jpg,PMMU000300001,MIU MIU Logo Raffia Slides Beige,269,1
PMNB002300001.jpg,PMNB002300001,"نيوبالنس Miu Miu Cinnamon 530SL
Mule",270,1
PMNB002300002.jpg,PMNB002300002,نيوبالنس Miu Miu Ecru 530SL Mule,271,1
PMNB002300003.jpg,PMNB002300003,نيوبالنس Miu Miu White 530SL Mule,272,1
PMNB002300004.jpg,PMNB002300004,"New Balance x Miu Miu 530 SL black
mules",273,1
PMNB002300005.jpg,PMNB002300005,"New Balance x Miu Miu 530 SL
Blue/Off White",274,1
PMNF000800001.jpg,PMNF000800001,نيكد وولف سليبر بلك وايت بلو,275,1
PMNF000800002.jpg,PMNF000800002,نيكد وولف سليبر بلك وايت,276,1
PMNF000800003.jpg,PMNF000800003,Army Green نيكد وولف سليبر بلك,277,1
PMNI004700001.jpg,PMNI004700001,BLACK نايك كالم سليد,278,1
PMNI004700002.jpg,PMNI004700002,SESAME نايك كالم سليد,279,1
PMNI004700003.jpg,PMNI004700003,SAIL نايك كالم سليد,280,900
PMNI006300001.jpg,PMNI006300001,Calm Mule Black Strap نايك,281,1
PMNI006300002.jpg,PMNI006300002,Calm Mule White Strap نايك,282,1
PMNI006300003.jpg,PMNI006300003,Calm Mule Oil Green Strap نايك,283,1
PMNI007800001.jpg,PMNI007800001,نايك ReactX Rejuven8 Sandals Black,284,1
PMNI007800002.jpg,PMNI007800002,"نايك ReactX Rejuven8 Sandals Green
Strike",285,1
PMNI010300001.jpg,PMNI010300001,Nike Mind 001 Slide Black Chrome bright orange OUTSOLE,286,1295
PMNI010300002.jpg,PMNI010300002,Nike Mind 001 Slide White Speed Red,287,1295
PMNI010300003.jpg,PMNI010300003,"Nike Mind 001 Slide Light Bone Hyper
Crimson",288,1295
PMNI010300004.jpg,PMNI010300004,"Nike Mind 001 Slide Team Red
University Red",289,1335
PMNI010300005.jpg,PMNI010300005,Nike Mind 001 Slide Solar Red,290,1295
PMNI010300006.jpg,PMNI010300006,"Nike Mind 001 Slide White Speed Red
مقاسات خاصة",291,1335
PMNI010300007.jpg,PMNI010300007,Nike Mind 001 Slide Black Chrome bright orange OUTSOLE مقاسات خاصة,292,1335
PMNI010300008.jpg,PMNI010300008,"Nike Mind 001 Slide Blackened Blue
Game Royal",293,1335
